state,date,cases,deaths,cases_weekly_change,deaths_weekly_change,state,date,total_vaccinations,total_vaccinations_per_hundred,people_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_weekly_change,total_vaccinations_per_hundred_weekly_change,people_vaccinated_weekly_change,people_vaccinated_per_hundred_weekly_change,people_fully_vaccinated_weekly_change,people_fully_vaccinated_per_hundred_weekly_change
Alabama,2/13/2021,479856,9242,0.018130302,0.085633755,Alabama,2/13/2021,601159,12.26,467032,,133029,2.71,0.3207264,0.321120714,0.26131117,,0.5784546,0.575581418
Alabama,2/20/2021,485986,9590,0.012774706,0.03765416,Alabama,2/20/2021,776936,15.85,560968,,214512,4.37,0.2923969,0.292822217,0.20113397,,0.6125206,0.612546083
Alabama,3/6/2021,499411,10149,0.013655782,0.022054434,Alabama,3/6/2021,1099697,22.43,721109,,402061,8.2,0.18108559,0.181147989,0.12111318,,0.30595255,0.305732454
Alabama,3/13/2021,503305,10327,0.007797241,0.017538667,Alabama,3/13/2021,1288242,26.27,841394,,492755,10.05,0.1714518,0.171199307,0.16680562,,0.2255727,0.225609779
Alabama,3/20/2021,511087,10436,0.015461803,0.01055491,Alabama,3/20/2021,1460782,29.79,960539,,561254,11.45,0.1339345,0.133993183,0.1416043,,0.13901234,0.139303464
Alabama,3/27/2021,514072,10526,0.00584054,0.008623958,Alabama,3/27/2021,1645858,33.57,1098597,,623385,12.71,0.12669647,0.126888207,0.14372969,,0.11070037,0.110043671
Alabama,4/17/2021,522131,10790,0.006832004,0.007281542,Alabama,4/17/2021,2280686,46.51,1476162,,935377,19.08,0.10427356,0.104225981,0.07654679,,0.15290332,0.152870086
Alabama,5/8/2021,530744,10978,0.004608989,0.005956173,Alabama,5/8/2021,2758021,56.25,1649688,,1263965,25.78,0.053723454,0.053765455,0.031615973,,0.08800709,0.088222908
Alabama,5/15/2021,539829,11038,0.0171175,0.005465508,Alabama,5/15/2021,2881314,58.76,1697289,,1348023,27.49,0.044703484,0.044622192,0.02885449,,0.066503406,0.06633048
Alabama,5/22/2021,541928,11112,0.003888249,0.006704092,Alabama,5/22/2021,2962661,60.42,1736645,,1396990,28.49,0.028232574,0.028250479,0.023187518,,0.036325097,0.036376856
Alabama,6/5/2021,545585,11198,0.00401175,0.004665375,Alabama,6/5/2021,3032931,61.86,1772245,,1440289,29.37,0.00410223,0.004220789,0.003811956,,0.006020904,0.005821947
Alabama,6/12/2021,547323,11266,0.00318563,0.006072521,Alabama,6/12/2021,3105159,63.33,1805486,,1485108,30.29,0.023814559,0.023763366,0.01875639,,0.031118035,0.031324512
Alabama,6/26/2021,549934,11336,0.002327442,0.00265348,Alabama,6/26/2021,3317156,67.65,1933773,,1578780,32.2,0.012787581,0.012724574,0.012974262,,0.012764931,0.012897161
Alabama,7/31/2021,585607,11536,0.02894938,0.004615545,Alabama,7/31/2021,3587175,73.16,2117044,,1683584,34.34,0.023648381,0.023646336,0.03326392,,0.010705709,0.010891968
Alabama,8/21/2021,659750,12000,0.05071628,0.01997447,Alabama,8/21/2021,3906516,79.67,2340782,,1777585,36.25,0.0363667,0.036290299,0.035594463,,0.02942419,0.029244747
Alabama,9/11/2021,745812,12673,0.03688693,0.020863533,Alabama,9/11/2021,4292244,87.54,2506484,,1959493,39.96,0.019629836,0.019685509,0.013085485,,0.022854686,0.022779603
Alabama,9/25/2021,787421,14022,0.024886131,0.06154895,Alabama,9/25/2021,4471337,91.19,2565735,,2060935,42.03,0.0192492,0.019224348,0.011195183,,0.02380097,0.023623935
Alabama,10/2/2021,799800,14469,0.015720963,0.03187847,Alabama,10/2/2021,4544355,92.68,2586950,,2094920,42.73,0.016330242,0.016339514,0.008268595,,0.016490102,0.01665476
Alabama,10/9/2021,807479,14857,0.009601116,0.02681601,Alabama,10/9/2021,4630089,94.43,2609534,,2128926,43.42,0.018866062,0.018882179,0.008729935,,0.01623261,0.016147863
Alabama,10/23/2021,819597,15406,0.007518292,0.014954925,Alabama,10/23/2021,4759947,97.08,2648588,,2174923,44.36,0.015308023,0.01537498,0.008906007,,0.011353135,0.011399923
Alabama,1/23/2021,439442,6657,0.04459679,0.08792281,Alabama,1/23/2021,221540,4.52,193955,,27422,0.56,,,,,,
Alabama,1/30/2021,455582,7566,0.036728382,0.13654804,Alabama,1/30/2021,342436,6.98,288368,,53742,1.1,0.54570735,0.544247792,0.4867779,,0.95981324,0.964285757
Alabama,2/6/2021,471311,8513,0.034525037,0.12516522,Alabama,2/6/2021,455173,9.28,370275,,84278,1.72,0.32922065,0.329512856,0.2840364,,0.5681962,0.56363639
Alabama,2/27/2021,492683,9930,0.013780236,0.035453558,Alabama,2/27/2021,931090,18.99,643208,,307868,6.28,0.19841278,0.198107241,0.1466037,,0.43520176,0.437070986
Alabama,4/3/2021,516615,10637,0.004946828,0.010545373,Alabama,4/3/2021,1847243,37.67,1234131,,705197,14.38,0.12235868,0.122132802,0.12337005,,0.13123834,0.131392613
Alabama,4/10/2021,518588,10712,0.003819108,0.007050872,Alabama,4/10/2021,2065327,42.12,1371201,,811323,16.55,0.11805916,0.11813111,0.111065984,,0.15049124,0.15090398
Alabama,4/24/2021,525898,10851,0.007214665,0.005653381,Alabama,4/24/2021,2461510,50.2,1543544,,1054863,21.51,0.07928491,0.079337793,0.045646787,,0.12774098,0.127358503
Alabama,5/1/2021,528309,10913,0.004584551,0.005713701,Alabama,5/1/2021,2617405,53.38,1599130,,1161725,23.69,0.063333035,0.063346635,0.036011934,,0.10130417,0.101348235
Alabama,5/29/2021,543405,11146,0.002725482,0.003059745,Alabama,5/29/2021,3020540,61.6,1765515,,1431669,29.2,0.019536138,0.019529932,0.016623974,,0.024824142,0.024921052
Alabama,6/19/2021,548657,11306,0.002437353,0.00355053,Alabama,6/19/2021,3275273,66.8,1909005,,1558881,31.79,0.054784298,0.054792406,0.057335854,,0.049675226,0.049521324
Alabama,7/3/2021,551298,11358,0.002480269,0.001940727,Alabama,7/3/2021,3381996,68.98,1969834,,1612803,32.89,0.019546866,0.019660064,0.018648028,,0.021550179,0.021428552
Alabama,7/10/2021,554605,11402,0.005998612,0.003873944,Alabama,7/10/2021,3414916,69.65,1988956,,1629745,33.24,0.009733915,0.009712982,0.009707451,,0.010504723,0.010641583
Alabama,7/17/2021,559478,11443,0.00878644,0.003595829,Alabama,7/17/2021,3455278,70.47,2013853,,1648172,33.61,0.011819363,0.011773169,0.012517571,,0.011306644,0.011131186
Alabama,7/24/2021,569131,11483,0.017253637,0.003495574,Alabama,7/24/2021,3504304,71.47,2048890,,1665751,33.97,0.014188767,0.014190453,0.017398,,0.010665774,0.010711134
Alabama,8/7/2021,607209,11624,0.03688824,0.007628322,Alabama,8/7/2021,3699467,75.45,2207345,,1707895,34.83,0.031303763,0.031301216,0.042654276,,0.01444006,0.014269127
Alabama,8/14/2021,627905,11765,0.034083843,0.012130022,Alabama,8/14/2021,3769434,76.88,2260327,,1726776,35.22,0.018912673,0.018952913,0.024002552,,0.011055112,0.011197279
Alabama,8/28/2021,688018,12219,0.04284656,0.018249989,Alabama,8/28/2021,4072870,83.07,2415007,,1850031,37.73,0.042583704,0.042676035,0.031709433,,0.040755272,0.040827574
