"state","date","cases","deaths","cases_weekly_change","deaths_weekly_change"
"Alabama","2020-12-20","322452","4389","0.09072459","0.06996584"
"Alaska","2020-12-20","43649","176","0.06632626","0.041420102"
"Arizona","2020-12-20","453601","7971","0.11000967","0.08345795"
"Arkansas","2020-12-20","201650","3237","0.085879564","0.099151134"
"California","2020-12-20","1889914","22736","0.1880827","0.08045435"
"Colorado","2020-12-20","310522","4420","0.071952105","0.10999501"
"Connecticut","2020-12-20","162782","5581","0.10916388","0.040648937"
"Delaware","2020-12-20","50616","862","0.11341834","0.056372523"
"District of Columbia","2020-12-20","26601","737","0.069429874","0.030769229"
"Florida","2020-12-20","1201558","20567","0.067175984","0.03533852"
"Georgia","2020-12-20","567654","10056","0.08417821","0.02811575"
"Guam","2020-12-20","8171","120","0.011888504","0.00840342"
"Hawaii","2020-12-20","20291","280","0.05123818","0.029411793"
"Idaho","2020-12-20","130039","1284","0.07254851","0.08905852"
"Illinois","2020-12-20","901924","16407","0.06057298","0.06955671"
"Indiana","2020-12-20","467258","7404","0.091023326","0.08802354"
"Iowa","2020-12-20","267329","3589","0.043239236","0.118416905"
"Kansas","2020-12-20","203674","2341","0.07958233","0.1298263"
"Kentucky","2020-12-20","244784","2665","0.08022809","0.08642483"
"Louisiana","2020-12-20","286145","7042","0.065268636","0.0328542"
"Maine","2020-12-20","18946","292","0.18985116","0.13618672"
"Maryland","2020-12-20","251069","5448","0.06849241","0.0646863"
"Massachusetts","2020-12-20","323531","11717","0.11340499","0.03242576"
"Michigan","2020-12-20","495023","12066","0.066402555","0.07866979"
"Minnesota","2020-12-20","397378","4909","0.048817277","0.09016216"
"Mississippi","2020-12-20","194333","4409","0.08295488","0.050011873"
"Missouri","2020-12-20","386259","5262","0.06335378","0.105229974"
"Montana","2020-12-20","77170","865","0.052753687","0.05745721"
"Nebraska","2020-12-20","157171","1515","0.04994154","0.08291638"
"Nevada","2020-12-20","204227","2786","0.089199066","0.09469545"
"New Hampshire","2020-12-20","36542","656","0.18044972","0.08789384"
"New Jersey","2020-12-20","434500","18194","0.07945478","0.024956346"
"New Mexico","2020-12-20","129993","2171","0.085083485","0.10935104"
"New York","2020-12-20","851400","36017","0.090376735","0.023268342"
"North Carolina","2020-12-20","479875","6259","0.09897971","0.06900084"
"North Dakota","2020-12-20","90045","1237","0.02467084","0.06822109"
"Northern Mariana Islands","2020-12-20","115","2","0.017699122","0.0"
"Ohio","2020-12-20","622806","8047","0.10676408","0.07407904"
"Oklahoma","2020-12-20","260838","2212","0.09748888","0.07170546"
"Oregon","2020-12-20","102930","1341","0.09671509","0.1580311"
"Pennsylvania","2020-12-20","560002","13964","0.12925029","0.10711169"
