"state","date","cases","deaths","cases_weekly_change","new_cases","deaths_weekly_change","new_deaths"
"Alabama","2020-12-20","322452","4389","0.09072459","26821.0","0.06996584","287.0"
"Alaska","2020-12-20","43649","176","0.06632626","2715.0","0.041420102","7.0"
"Arizona","2020-12-20","453601","7971","0.11000967","44955.0","0.08345795","614.0"
"Arkansas","2020-12-20","201650","3237","0.085879564","15948.0","0.099151134","292.0"
"California","2020-12-20","1889914","22736","0.1880827","299188.0","0.08045435","1693.0"
"Colorado","2020-12-20","310522","4420","0.071952105","20843.0","0.10999501","438.0"
"Connecticut","2020-12-20","162782","5581","0.10916388","16021.0","0.040648937","218.0"
"Delaware","2020-12-20","50616","862","0.11341834","5156.0","0.056372523","46.0"
"District of Columbia","2020-12-20","26601","737","0.069429874","1727.0","0.030769229","22.0"
"Florida","2020-12-20","1201558","20567","0.067175984","75635.0","0.03533852","702.0"
"Georgia","2020-12-20","567654","10056","0.08417821","44074.0","0.02811575","275.0"
"Guam","2020-12-20","8171","120","0.011888504","96.0","0.00840342","1.0"
"Hawaii","2020-12-20","20291","280","0.05123818","989.0","0.029411793","8.0"
"Idaho","2020-12-20","130039","1284","0.07254851","8796.0","0.08905852","105.0"
"Illinois","2020-12-20","901924","16407","0.06057298","51512.0","0.06955671","1067.0"
"Indiana","2020-12-20","467258","7404","0.091023326","38983.0","0.08802354","599.0"
"Iowa","2020-12-20","267329","3589","0.043239236","11080.0","0.118416905","380.0"
"Kansas","2020-12-20","203674","2341","0.07958233","15014.0","0.1298263","269.0"
"Kentucky","2020-12-20","244784","2665","0.08022809","18180.0","0.08642483","212.0"
"Louisiana","2020-12-20","286145","7042","0.065268636","17532.0","0.0328542","224.0"
"Maine","2020-12-20","18946","292","0.18985116","3023.0","0.13618672","35.0"
"Maryland","2020-12-20","251069","5448","0.06849241","16094.0","0.0646863","331.0"
"Massachusetts","2020-12-20","323531","11717","0.11340499","32953.0","0.03242576","368.0"
"Michigan","2020-12-20","495023","12066","0.066402555","30824.0","0.07866979","880.0"
"Minnesota","2020-12-20","397378","4909","0.048817277","18496.0","0.09016216","406.0"
"Mississippi","2020-12-20","194333","4409","0.08295488","14886.0","0.050011873","210.0"
"Missouri","2020-12-20","386259","5262","0.06335378","23013.0","0.105229974","501.0"
"Montana","2020-12-20","77170","865","0.052753687","3867.0","0.05745721","47.0"
"Nebraska","2020-12-20","157171","1515","0.04994154","7476.0","0.08291638","116.0"
"Nevada","2020-12-20","204227","2786","0.089199066","16725.0","0.09469545","241.0"
"New Hampshire","2020-12-20","36542","656","0.18044972","5586.0","0.08789384","53.0"
"New Jersey","2020-12-20","434500","18194","0.07945478","31982.0","0.024956346","443.0"
"New Mexico","2020-12-20","129993","2171","0.085083485","10193.0","0.10935104","214.0"
"New York","2020-12-20","851400","36017","0.090376735","70569.0","0.023268342","819.0"
"North Carolina","2020-12-20","479875","6259","0.09897971","43220.0","0.06900084","404.0"
"North Dakota","2020-12-20","90045","1237","0.02467084","2168.0","0.06822109","79.0"
"Northern Mariana Islands","2020-12-20","115","2","0.017699122","2.0","0.0","0.0"
"Ohio","2020-12-20","622806","8047","0.10676408","60079.0","0.07407904","555.0"
"Oklahoma","2020-12-20","260838","2212","0.09748888","23170.0","0.07170546","148.0"
"Oregon","2020-12-20","102930","1341","0.09671509","9077.0","0.1580311","183.0"
"Pennsylvania","2020-12-20","560002","13964","0.12925029","64096.0","0.10711169","1351.0"
"Puerto Rico","2020-12-20","102048","1368","0.06249094","6002.0","0.07547164","96.0"
"Rhode Island","2020-12-20","77812","1625","0.09876025","6994.0","0.07687211","116.0"
"South Carolina","2020-12-20","273406","4935","0.084058285","21200.0","0.041358948","196.0"
"South Dakota","2020-12-20","94727","1361","0.040521502","3689.0","0.08101666","102.0"
"Tennessee","2020-12-20","505880","6007","0.1426971","63173.0","0.111172795","601.0"
"Texas","2020-12-20","1591885","25948","0.07573974","112080.0","0.059058785","1447.0"
"Utah","2020-12-20","250964","1155","0.07293594","17060.0","0.09478676","100.0"
"Vermont","2020-12-20","6443","111","0.11993742","690.0","0.16842103","16.0"
"Virgin Islands","2020-12-20","1921","23","0.072585106","130.0","0.0","0.0"
"Virginia","2020-12-20","306848","4650","0.08846474","24939.0","0.054182768","239.0"
"Washington","2020-12-20","227049","3170","0.084361315","17664.0","0.04105091","125.0"
"West Virginia","2020-12-20","72342","1128","0.14434409","9125.0","0.16528928","160.0"
"Wisconsin","2020-12-20","492724","4745","0.050682783","23768.0","0.09231126","401.0"
"Wyoming","2020-12-20","41662","351","0.058485746","2302.0","0.09345794","30.0"
"Alabama","2020-12-21","324832","4389","0.09042454","26937.0","0.06996584","287.0"
"Alaska","2020-12-21","43801","176","0.058941603","2438.0","0.041420102","7.0"
"Arizona","2020-12-21","461345","7972","0.0972414","40886.0","0.08344662","614.0"
"Arkansas","2020-12-21","203107","3295","0.085802674","16050.0","0.102006674","305.0"
"California","2020-12-21","1933169","22980","0.19263983","312253.0","0.084166765","1784.0"
"Colorado","2020-12-21","312713","4432","0.072238564","21068.0","0.1038605","417.0"
"Connecticut","2020-12-21","167377","5676","0.08692014","13385.0","0.04261577","232.0"
"Delaware","2020-12-21","51056","871","0.09899473","4599.0","0.067402005","55.0"
"District of Columbia","2020-12-21","26740","742","0.06797671","1702.0","0.03631282","26.0"
"Florida","2020-12-21","1212573","20679","0.06893492","78198.0","0.033846617","677.0"
"Georgia","2020-12-21","571301","10072","0.08373976","44144.0","0.027440548","269.0"
"Guam","2020-12-21","8180","121","0.009129047","74.0","0.008333325","1.0"
"Hawaii","2020-12-21","20423","280","0.04792452","934.0","0.029411793","8.0"
"Idaho","2020-12-21","131468","1305","0.07164228","8789.0","0.08840704","106.0"
"Illinois","2020-12-21","906917","16530","0.057185292","49057.0","0.06934917","1072.0"
"Indiana","2020-12-21","471124","7438","0.087438464","37882.0","0.0874269","598.0"
"Iowa","2020-12-21","268736","3589","0.046064258","11834.0","0.097889304","320.0"
"Kansas","2020-12-21","207933","2448","0.07676494","14824.0","0.16073966","339.0"
"Kentucky","2020-12-21","247243","2701","0.081231356","18575.0","0.09263754","229.0"
"Louisiana","2020-12-21","287261","7107","0.065338254","17618.0","0.038276076","262.0"
"Maine","2020-12-21","19285","293","0.17958283","2936.0","0.1312741","34.0"
"Maryland","2020-12-21","253345","5471","0.06799734","16130.0","0.063982844","329.0"
"Massachusetts","2020-12-21","327374","11759","0.112642765","33143.0","0.03257811","371.0"
"Michigan","2020-12-21","499988","12146","0.059884906","28250.0","0.07658219","864.0"
"Minnesota","2020-12-21","399370","4931","0.045745015","17470.0","0.09068787","410.0"
"Mississippi","2020-12-21","195500","4411","0.07954383","14405.0","0.0492388","207.0"
"Missouri","2020-12-21","390512","5291","0.06258881","23002.0","0.10528517","504.0"
"Montana","2020-12-21","77456","881","0.05589187","4100.0","0.07701707","63.0"
"Nebraska","2020-12-21","158119","1540","0.051868677","7797.0","0.067961216","98.0"
"Nevada","2020-12-21","206195","2801","0.08635175","16390.0","0.095424294","244.0"
"New Hampshire","2020-12-21","37388","656","0.17295682","5513.0","0.08609271","52.0"
"New Jersey","2020-12-21","437671","18223","0.0745244","30355.0","0.025203943","448.0"
"New Mexico","2020-12-21","130808","2180","0.0783931","9509.0","0.10212338","202.0"
"New York","2020-12-21","860856","36147","0.08994639","71041.0","0.024342537","859.0"
"North Carolina","2020-12-21","484513","6285","0.09687567","42792.0","0.06543481","386.0"
"North Dakota","2020-12-21","90127","1239","0.02332151","2054.0","0.06534827","76.0"
"Northern Mariana Islands","2020-12-21","116","2","0.026548624","3.0","0.0","0.0"
"Ohio","2020-12-21","629354","8122","0.102965","58752.0","0.0756191","571.0"
"Oklahoma","2020-12-21","263434","2218","0.09870827","23667.0","0.0704633","146.0"
"Oregon","2020-12-21","103880","1351","0.09299052","8838.0","0.15667808","183.0"
"Pennsylvania","2020-12-21","569413","14021","0.12660909","63991.0","0.10680449","1353.0"
"Puerto Rico","2020-12-21","102464","1382","0.060703993","5864.0","0.07800317","100.0"
"Rhode Island","2020-12-21","80231","1670","0.0831635","6160.0","0.07395494","115.0"
"South Carolina","2020-12-21","275733","4962","0.082256556","20957.0","0.04441166","211.0"
"South Dakota","2020-12-21","95074","1381","0.0407207","3720.0","0.09690225","122.0"
"Tennessee","2020-12-21","515145","6072","0.13850236","62669.0","0.10722101","588.0"
"Texas","2020-12-21","1608768","26164","0.077246904","115361.0","0.06435609","1582.0"
"Utah","2020-12-21","252783","1163","0.071695685","16911.0","0.09201872","98.0"
"Vermont","2020-12-21","6534","111","0.11558819","677.0","0.15625","15.0"
"Virgin Islands","2020-12-21","1921","23","0.06308794","114.0","0.0","0.0"
"Virginia","2020-12-21","310890","4654","0.09027207","25741.0","0.05437243","240.0"
"Washington","2020-12-21","230642","3186","0.08618176","18300.0","0.033073902","102.0"
"West Virginia","2020-12-21","73337","1129","0.13887942","8943.0","0.15439677","151.0"
"Wisconsin","2020-12-21","494353","4754","0.048946977","23068.0","0.09061706","395.0"
"Wyoming","2020-12-21","42118","351","0.058906317","2343.0","0.09345794","30.0"
"Alabama","2020-12-22","329811","4452","0.093780756","28278.0","0.07953441","328.0"
"Alaska","2020-12-22","44241","186","0.062336445","2596.0","0.08139539","14.0"
"Arizona","2020-12-22","470351","8133","0.1012125","43230.0","0.0949111","705.0"
"Arkansas","2020-12-22","205048","3338","0.083774686","15850.0","0.10676396","322.0"
"California","2020-12-22","1968541","23254","0.18933141","313375.0","0.08243728","1771.0"
"Colorado","2020-12-22","315397","4464","0.06712389","19839.0","0.08061004","333.0"
"Connecticut","2020-12-22","168960","5703","0.08682513","13498.0","0.043358922","237.0"
"Delaware","2020-12-22","51623","872","0.095053196","4481.0","0.05569005","46.0"
"District of Columbia","2020-12-22","26900","744","0.06160462","1561.0","0.0333333","24.0"
"Florida","2020-12-22","1223007","20753","0.06926203","79221.0","0.03346443","672.0"
"Georgia","2020-12-22","579957","10135","0.08507025","45469.0","0.028307676","279.0"
"Guam","2020-12-22","8180","121","0.0076373816","62.0","0.008333325","1.0"
"Hawaii","2020-12-22","20487","280","0.04841101","946.0","0.029411793","8.0"
"Idaho","2020-12-22","132950","1317","0.069710135","8664.0","0.08039379","98.0"
"Illinois","2020-12-22","913265","16677","0.05547917","48004.0","0.06965554","1086.0"
"Indiana","2020-12-22","474797","7581","0.08521807","37284.0","0.087973595","613.0"
"Iowa","2020-12-22","270294","3653","0.04662478","12041.0","0.09469581","316.0"
"Kansas","2020-12-22","208109","2448","0.07519305","14554.0","0.16073966","339.0"
"Kentucky","2020-12-22","250089","2739","0.08129299","18802.0","0.09603846","240.0"
"Louisiana","2020-12-22","290960","7158","0.068621516","18684.0","0.038143635","263.0"
"Maine","2020-12-22","19743","303","0.17798328","2983.0","0.14339626","38.0"
"Maryland","2020-12-22","255666","5519","0.06663501","15972.0","0.060122967","313.0"
"Massachusetts","2020-12-22","331174","11804","0.11072576","33014.0","0.031547666","361.0"
"Michigan","2020-12-22","503497","12333","0.055164337","26323.0","0.07355499","845.0"
"Minnesota","2020-12-22","401070","4955","0.043846965","16847.0","0.09092915","413.0"
"Mississippi","2020-12-22","197691","4490","0.07851064","14391.0","0.05597365","238.0"
"Missouri","2020-12-22","393488","5474","0.06098914","22619.0","0.10385156","515.0"
"Montana","2020-12-22","78017","901","0.052009225","3857.0","0.090798974","75.0"
"Nebraska","2020-12-22","159267","1553","0.048492074","7366.0","0.060792327","89.0"
"Nevada","2020-12-22","207351","2832","0.07934034","15242.0","0.08547342","223.0"
"New Hampshire","2020-12-22","38008","656","0.16785991","5463.0","0.08609271","52.0"
"New Jersey","2020-12-22","442274","18326","0.075354576","30992.0","0.025402904","454.0"
"New Mexico","2020-12-22","132075","2203","0.07766187","9518.0","0.09820533","197.0"
"New York","2020-12-22","871155","36300","0.08955526","71604.0","0.024700046","875.0"
"North Carolina","2020-12-22","491242","6342","0.09823096","43939.0","0.07019913","416.0"
"North Dakota","2020-12-22","90459","1244","0.023280263","2058.0","0.05782318","68.0"
"Northern Mariana Islands","2020-12-22","116","2","0.026548624","3.0","0.0","0.0"
"Ohio","2020-12-22","637032","8252","0.09955001","57675.0","0.07812905","598.0"
"Oklahoma","2020-12-22","265620","2240","0.09764409","23629.0","0.07382548","154.0"
"Oregon","2020-12-22","105091","1382","0.09363842","8998.0","0.13932395","169.0"
"Pennsylvania","2020-12-22","577183","14244","0.12072408","62174.0","0.10162413","1314.0"
"Puerto Rico","2020-12-22","103527","1391","0.06691468","6493.0","0.074961305","97.0"
"Rhode Island","2020-12-22","81187","1678","0.07908344","5950.0","0.06878984","108.0"
"South Carolina","2020-12-22","278055","4976","0.08058059","20735.0","0.046257377","220.0"
"South Dakota","2020-12-22","95509","1381","0.041548967","3810.0","0.09516251","120.0"
"Tennessee","2020-12-22","519475","6205","0.12818003","59021.0","0.11660969","648.0"
"Texas","2020-12-22","1630886","26363","0.07786691","117818.0","0.063195705","1567.0"
"Utah","2020-12-22","255085","1175","0.0727458","17298.0","0.08998144","97.0"
"Vermont","2020-12-22","6608","112","0.11565089","685.0","0.120000005","12.0"
"Virgin Islands","2020-12-22","1934","23","0.057986856","106.0","0.0","0.0"
"Virginia","2020-12-22","314481","4705","0.090777636","26172.0","0.052572727","235.0"
"Washington","2020-12-22","232204","3214","0.08463466","18119.0","0.029138684","91.0"
"West Virginia","2020-12-22","74737","1171","0.137411","9029.0","0.15711462","159.0"
"Wisconsin","2020-12-22","497380","4882","0.04636681","22040.0","0.106527686","470.0"
"Wyoming","2020-12-22","42379","373","0.05778253","2315.0","0.13719511","45.0"
"Alabama","2020-12-23","334569","4587","0.094650626","28929.0","0.09266317","389.0"
"Alaska","2020-12-23","44602","189","0.055518746","2346.0","0.08620691","15.0"
"Arizona","2020-12-23","475706","8184","0.10288179","44376.0","0.08282614","626.0"
"Arkansas","2020-12-23","207941","3376","0.085831046","16437.0","0.098243356","302.0"
"California","2020-12-23","2013298","23633","0.17317677","297190.0","0.08006942","1752.0"
"Colorado","2020-12-23","318027","4531","0.06544566","19535.0","0.08086836","339.0"
"Connecticut","2020-12-23","170705","5736","0.08191097","12924.0","0.041772604","230.0"
"Delaware","2020-12-23","52235","872","0.08984125","4306.0","0.046818733","39.0"
"District of Columbia","2020-12-23","27226","751","0.063432574","1624.0","0.043055534","31.0"
"Florida","2020-12-23","1234391","20873","0.06843436","79064.0","0.03316343","670.0"
"Georgia","2020-12-23","587472","10193","0.08572757","46386.0","0.028245687","280.0"
"Guam","2020-12-23","8180","121","0.005284548","43.0","0.008333325","1.0"
"Hawaii","2020-12-23","20582","283","0.04769659","937.0","0.025362372","7.0"
"Idaho","2020-12-23","134258","1343","0.066945314","8424.0","0.07698476","96.0"
"Illinois","2020-12-23","919992","16846","0.054681063","47698.0","0.06755388","1066.0"
"Indiana","2020-12-23","479476","7645","0.08054829","35742.0","0.076608896","544.0"
"Iowa","2020-12-23","272112","3668","0.043438196","11328.0","0.093619585","314.0"
"Kansas","2020-12-23","212871","2507","0.07563305","14968.0","0.11273861","254.0"
"Kentucky","2020-12-23","252978","2774","0.08014703","18771.0","0.09687626","245.0"
"Louisiana","2020-12-23","293934","7226","0.06673682","18389.0","0.0422616","293.0"
"Maine","2020-12-23","20491","311","0.18369818","3180.0","0.16479397","44.0"
"Maryland","2020-12-23","258129","5568","0.06639755","16072.0","0.05654645","298.0"
"Massachusetts","2020-12-23","335988","11887","0.104816675","31876.0","0.03248501","374.0"
"Michigan","2020-12-23","507291","12405","0.052969098","25519.0","0.07105851","823.0"
"Minnesota","2020-12-23","402578","5030","0.041677117","16107.0","0.0854553","396.0"
