"state","date","total_vaccinations","total_vaccinations_per_hundred","people_vaccinated","people_vaccinated_per_hundred","people_fully_vaccinated","people_fully_vaccinated_per_hundred","total_vaccinations_weekly_change","total_vaccinations_per_hundred_weekly_change","people_vaccinated_weekly_change","people_vaccinated_per_hundred_weekly_change","people_fully_vaccinated_weekly_change","people_fully_vaccinated_per_hundred_weekly_change"
"Alabama","2021-01-12","78134","1.59","70861",,"7270","0.15",,,,,,
"Alabama","2021-01-13","84040","1.71","74792",,"9245","0.19",,,,,,
"Alabama","2021-01-14","92300","1.88","80480",,,,,,,,,
"Alabama","2021-01-15","100567","2.05","86956",,"13488","0.28",,,,,,
"Alabama","2021-01-16",,,,,,,,,,,,
"Alabama","2021-01-17",,,,,,,,,,,,
"Alabama","2021-01-18",,,,,,,,,,,,
"Alabama","2021-01-19","130795","2.67","114319",,"16346","0.33","0.6739832","0.6792453310024813","0.6132852",,"1.2484181","1.200000087420146"
"Alabama","2021-01-20","139200","2.84","121113",,"17956","0.37","0.65635407","0.6608186632569073","0.619331",,"0.94223905","0.9473684461493241"
"Alabama","2021-01-21","165919","3.38","144429",,"21345","0.44","0.79760563","0.7978724012983607","0.7945949",,,
"Alabama","2021-01-22","199314","4.06","174317",,"24840","0.51","0.9819026","0.9804877769656299","1.0046575",,"0.841637","0.8214285373687742"
"Alabama","2021-01-23","221540","4.52","193955",,"27422","0.56",,,,,,
"Alabama","2021-01-24","243737","4.97","213833",,"29736","0.61",,,,,,
"Alabama","2021-01-25","250612","5.11","220464",,"29978","0.61",,,,,,
"Alabama","2021-01-26","254959","5.2","223854",,"30933","0.63","0.9493023","0.9475654716348827","0.9581522",,"0.89238954","0.9090908946412981"
"Alabama","2021-01-27","266444","5.43","232633",,"33595","0.69","0.91410923","0.9119717705417687","0.92079294",,"0.8709624","0.8648648584211196"
"Alabama","2021-01-28","278993","5.69","241337",,"37431","0.76","0.68150127","0.6834319695918518","0.6709733",,"0.7536191","0.727272705598311"
"Alabama","2021-01-29","300915","6.14","256601",,"44073","0.9","0.50975347","0.5123152380506395","0.4720366",,"0.7742753","0.7647058356042002"
"Alabama","2021-01-30","342436","6.98","288368",,"53742","1.1","0.54570735","0.5442477918304174","0.4867779",,"0.95981324","0.9642857568604604"
"Alabama","2021-01-31","353974","7.22","298301",,"55331","1.13","0.4522785","0.45271625557176076","0.39501858",,"0.86074114","0.8524590085764401"
"Alabama","2021-02-01","358280","7.31","301628",,"56308","1.15","0.42962027","0.43052836453611354","0.36815083",,"0.8783108","0.8852458625543314"
